index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
87b6eb4,87b6eb4,87b6eb,87b6eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6ebc,87b6ebc,87b6eb,87b6eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6ec4,87b6ec4,87b6ec4,87b6ed,0.0,0.0,0.0,0.0,-49189.273462703524,-470583.72611709835,345952.3322648141,92.0,0.0,0.0,0.0,0.0
87b6ecc,87b6ecc,87b6ecc,87b6ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6ed4,87b6ed4,87b6ed4,87b6ed,0.0,0.0,0.0,0.0,-50464.86918738364,-486163.899305545,356960.0175418079,95.0,0.0,0.0,0.0,0.0
87b6edc,87b6edc,87b6edc,87b6ed,-9541.224766862186,-92090.40515081804,67671.27791181182,18.0,-9541.224766862186,-92090.40515081804,67671.27791181182,18.0,0.0,0.0,0.0,0.0
87b6ee4,87b6ee4,87b6ef,87b6ef,-3702.904519549931,-35789.67560144859,26349.29802283265,7.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0
87b6eec,87b6eec,87b6ef,87b6ef,-26155.961181875802,-250507.28886558415,184439.56681595912,49.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0
87b6ef4,87b6ef4,87b6ef,87b6ef,-4803.889500006389,-45990.26202371413,33905.58086987589,9.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0
87b6efc,87b6efc,87b6ef,87b6ef,-2645.82467269492,-25548.758067957137,18841.55907296261,5.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0,-37308.579874127056,-357835.984558704,263536.0047816302,70.0
87b6f1,87b6f1,87b6f1,87b6f4,0.0,0.0,0.0,0.0,-29815.03145336396,-291243.70603067114,214858.67788960546,57.0,0.0,0.0,0.0,0.0
87b6f24,87b6f24,87b6f3,87b6f4,-18430.189763806724,-179061.5260226349,131604.49302631314,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6f2c,87b6f2c,87b6f3,87b6f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6f34,87b6f34,87b6f3,87b6f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6f3c,87b6f3c,87b6f3,87b6f4,-6811.885368004395,-66493.39195415477,48907.004978328965,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b6f5,87b6f5,87b6f5,87b6f4,0.0,0.0,0.0,0.0,-30487.638080393805,-301950.2163997547,221786.98698976482,59.0,0.0,0.0,0.0,0.0
87b6f7,87b6f7,87b6f7,87b6f4,-3630.971942751411,-35789.349181618185,26359.744428914568,7.0,-3630.971942751411,-35789.349181618185,26359.744428914568,7.0,0.0,0.0,0.0,0.0
87b6fc,87b6fc,87b6fc,87b6fc,-4172.74618468886,-40845.95886924259,30198.33301704579,8.0,-4172.74618468886,-40845.95886924259,30198.33301704579,8.0,-4172.74618468886,-40845.95886924259,30198.33301704579,8.0
87b70c,87b70c,87b70c,87b74,-7301.459971991804,-71115.15769310827,53337.73243957745,14.0,-7301.459971991804,-71115.15769310827,53337.73243957745,14.0,0.0,0.0,0.0,0.0
87b711,87b711,87b714,87b74,-26417.30152617398,-254091.6227480713,190299.60753160433,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b713,87b713,87b714,87b74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b717,87b717,87b714,87b74,-1073.5268757600656,-10162.81265698752,7610.765432215642,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87b71c,87b71c,87b71c,87b74,-25386.998974646078,-244422.38800157444,182021.68475657902,48.0,-25386.998974646078,-244422.38800157444,182021.68475657902,48.0,0.0,0.0,0.0,0.0
87b73,87b73,87b73,87b74,-8297.082002646639,-76157.73594477528,57130.00553900861,15.0,-8297.082002646639,-76157.73594477528,57130.00553900861,15.0,0.0,0.0,0.0,0.0
87b75,87b75,87b75,87b74,-19713.651010718626,-181904.75114913448,138297.65455193463,36.0,-19713.651010718626,-181904.75114913448,138297.65455193463,36.0,0.0,0.0,0.0,0.0
87b77,87b77,87b77,87b74,-17135.198277162024,-166890.61582970788,126712.38970009024,33.0,-17135.198277162024,-166890.61582970788,126712.38970009024,33.0,0.0,0.0,0.0,0.0
87b783,87b783,87b79,87b79,-7012.902503687982,-70847.66264245307,53730.987125498876,14.0,0.0,0.0,0.0,0.0,-52614.38842238064,-536287.916022879,407054.2424196898,106.0
87b785,87b785,87b79,87b79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52614.38842238064,-536287.916022879,407054.2424196898,106.0
87b787,87b787,87b79,87b79,-17794.795163485538,-182023.67846488318,138401.71296921294,36.0,0.0,0.0,0.0,0.0,-52614.38842238064,-536287.916022879,407054.2424196898,106.0
87b78c,87b78c,87b79,87b79,-491.90165271696503,-5061.951748446217,3837.2425503392465,1.0,0.0,0.0,0.0,0.0,-52614.38842238064,-536287.916022879,407054.2424196898,106.0
87b7b,87b7b,87b7b,87b7b,-23943.3168974672,-243980.41368437602,182808.29080162695,48.0,-23943.3168974672,-243980.41368437602,182808.29080162695,48.0,-23943.3168974672,-243980.41368437602,182808.29080162695,48.0
87b7cc,87b7cc,87b7cc,87b7d,-9876.201953664659,-107017.50588815368,79685.53838424357,21.0,-9876.201953664659,-107017.50588815368,79685.53838424357,21.0,-64861.709658262465,-717720.8411638119,536313.3832634614,141.0
87b7d1,87b7d1,87b7d4,87b7d,-9662.328668662632,-106926.87151013798,79833.30716726194,21.0,-38997.829627317406,-432850.0571895407,323080.0202054955,85.0,-64861.709658262465,-717720.8411638119,536313.3832634614,141.0
87b7d3,87b7d3,87b7d4,87b7d,-8375.679917714024,-91732.22174579899,68309.05551874104,18.0,-38997.829627317406,-432850.0571895407,323080.0202054955,85.0,-64861.709658262465,-717720.8411638119,536313.3832634614,141.0
87b7d7,87b7d7,87b7d4,87b7d,-20959.821040940747,-234190.9639336037,174937.6575194926,46.0,-38997.829627317406,-432850.0571895407,323080.0202054955,85.0,-64861.709658262465,-717720.8411638119,536313.3832634614,141.0
87b7dc,87b7dc,87b7dc,87b7d,-15987.678077280398,-177853.27808611747,133547.82467372227,35.0,-15987.678077280398,-177853.27808611747,133547.82467372227,35.0,-64861.709658262465,-717720.8411638119,536313.3832634614,141.0
87b7e4,87b7e4,87b7f,87b7f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47087.20010485862,-527134.9016097485,398658.18076372077,104.0
