index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
87093,87093,87094,8709,-7300.1061596556265,-34613.524135312684,27157.02889108994,7.0,-53717.53155712489,-261653.1694409529,206558.6922742009,53.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
87095,87095,87094,8709,-7218.995423244292,-34390.76290597209,27460.099942995465,7.0,-53717.53155712489,-261653.1694409529,206558.6922742009,53.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
87097,87097,87094,8709,-13062.055096202426,-63991.647581796184,50932.405641367506,13.0,-53717.53155712489,-261653.1694409529,206558.6922742009,53.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
87099,87099,87099,8709,-16456.276646172882,-83762.38133127657,66659.3984501096,17.0,-16456.276646172882,-83762.38133127657,66659.3984501096,17.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
8709b,8709b,8709b,8709,-19764.733033738077,-99052.28008607912,77678.13952162986,20.0,-19764.733033738077,-99052.28008607912,77678.13952162986,20.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
8709d,8709d,8709d,8709,-22638.211681030254,-119165.40380981234,93095.6180162133,24.0,-22638.211681030254,-119165.40380981234,93095.6180162133,24.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
8709f,8709f,8709f,8709,-47238.715484668486,-246620.7012443894,196012.83743182026,50.0,-47238.715484668486,-246620.7012443894,196012.83743182026,50.0,-194154.37540019513,-984542.0070585632,774781.1400124267,199.0
870a4,870a4,870a4,870a4,-20619.462540047654,-107687.69574149315,87312.18563975567,22.0,-20619.462540047654,-107687.69574149315,87312.18563975567,22.0,-20619.462540047654,-107687.69574149315,87312.18563975567,22.0
870a9,870a9,870a9,870ac,-13013.412401575659,-67962.1840534067,56279.467511457784,14.0,-13013.412401575659,-67962.1840534067,56279.467511457784,14.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870aa4,870aa4,870ab,870ac,-915.6018051154653,-4852.7794737948225,4025.1655671366343,1.0,-71263.57128394741,-372459.0889747973,311209.3068846867,77.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870aac,870aac,870ab,870ac,-22947.160508335655,-120801.39496600484,101237.55852802095,25.0,-71263.57128394741,-372459.0889747973,311209.3068846867,77.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870ab4,870ab4,870ab,870ac,-30625.517794376756,-159519.63960484578,133483.18337445447,33.0,-71263.57128394741,-372459.0889747973,311209.3068846867,77.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870abc,870abc,870ab,870ac,-16775.291176119543,-87285.27493015194,72463.39941507457,18.0,-71263.57128394741,-372459.0889747973,311209.3068846867,77.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870acc,870acc,870ad,870ac,-31196.10496852865,-159496.7781937432,133378.37057911776,33.0,-52294.66284066572,-265777.76111612126,222286.37045536411,55.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870ad4,870ad4,870ad,870ac,-21098.55787213707,-106280.98292237807,88907.99987624635,22.0,-52294.66284066572,-265777.76111612126,222286.37045536411,55.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870af,870af,870af,870ac,-19254.662098304212,-97048.82961603251,80291.07927857985,20.0,-19254.662098304212,-97048.82961603251,80291.07927857985,20.0,-155826.30862449302,-803247.8637603577,670066.2241300885,166.0
870b1,870b1,870b1,870b4,-32556.840266776835,-160204.73176978462,132199.13012251153,33.0,-32556.840266776835,-160204.73176978462,132199.13012251153,33.0,-112097.53019929206,-542438.1374655376,449825.817353981,112.0
870b3,870b3,870b3,870b4,-18668.56907703416,-91744.56511777935,76728.68499602588,19.0,-18668.56907703416,-91744.56511777935,76728.68499602588,19.0,-112097.53019929206,-542438.1374655376,449825.817353981,112.0
870b5,870b5,870b5,870b4,-24189.503673960466,-115833.42275771311,96835.49096974355,24.0,-24189.503673960466,-115833.42275771311,96835.49096974355,24.0,-112097.53019929206,-542438.1374655376,449825.817353981,112.0
870b7,870b7,870b7,870b4,-36682.6171815206,-174655.4178202606,144062.51126569998,36.0,-36682.6171815206,-174655.4178202606,144062.51126569998,36.0,-112097.53019929206,-542438.1374655376,449825.817353981,112.0
