index,config_1,config_2,config_3,config_1_x,config_1_y,config_1_z,config_1_points,config_2_x,config_2_y,config_2_z,config_2_points,config_3_x,config_3_y,config_3_z,config_3_points
864bc,864bc,864bc,864b,-8524.857454356697,-79485.66409043138,52362.9118183658,15.0,-8524.857454356697,-79485.66409043138,52362.9118183658,15.0,-62943.6479352314,-600371.5867719221,403801.3306721424,114.0
864c04,864c04,864c04,864c04,-16424.169691025538,-143363.21635122498,93632.97257135077,27.0,-16424.169691025538,-143363.21635122498,93632.97257135077,27.0,-16424.169691025538,-143363.21635122498,93632.97257135077,27.0
864c0c,864c0c,864c0c,864c0c,-1205.972396994823,-10594.641760392948,6975.538888086382,2.0,-1205.972396994823,-10594.641760392948,6975.538888086382,2.0,-1205.972396994823,-10594.641760392948,6975.538888086382,2.0
864c11,864c11,864c14,864c14,-8012.825037181684,-68894.81018212186,45265.50865165536,13.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0
864c13,864c13,864c14,864c14,-12935.57129053777,-111198.5176340851,73264.1796958333,21.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0
864c15,864c15,864c14,864c14,-1866.5844291344556,-15885.53572269053,10462.949710260014,3.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0
864c17,864c17,864c14,864c14,-14939.676218366327,-127205.67020923039,83517.74880367657,24.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0,-37754.656975220234,-323184.5337481279,212510.38686142524,61.0
864c184,864c184,864c19,864c19,-6870.908291650981,-58333.99100233624,38226.9000528559,11.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0
864c18c,864c18c,864c19,864c19,-10640.551106480612,-90204.43563127407,58994.708728714104,17.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0
864c194,864c194,864c19,864c19,-8102.056488963379,-68974.88213977749,45127.490202228466,13.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0
864c19c,864c19c,864c19,864c19,-11204.324022244202,-95460.45488356153,62552.728464914435,18.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0,-36817.83990933918,-312973.76365694933,204901.8274487129,59.0
864c1b,864c1b,864c1b,864c1b,-8003.9436304127785,-68976.09928701914,45143.11378410366,13.0,-8003.9436304127785,-68976.09928701914,45143.11378410366,13.0,-8003.9436304127785,-68976.09928701914,45143.11378410366,13.0
864c1c4,864c1c4,864c1d,864c1d,-9886.990628097372,-84955.86021362017,55459.22394407943,16.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1cc,864c1cc,864c1d,864c1d,-10448.674753598263,-90268.40136825778,58931.13855012592,17.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1d4,864c1d4,864c1d,864c1d,-3686.8683810795274,-31870.787208722195,20781.98489687057,6.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1d9,864c1d9,864c1d,864c1d,-6796.213099352789,-58436.504479707255,38083.41541356175,11.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1db,864c1db,864c1d,864c1d,-5558.486576545004,-47800.99240772923,31175.9249989859,9.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1dd,864c1dd,864c1d,864c1d,-10530.242145861597,-90288.15231158273,58886.34791284128,17.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1df,864c1df,864c1d,864c1d,-8679.354563873567,-74372.27484339407,48466.74115068788,14.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0,-55586.830148408124,-477992.97283301345,311784.77686715266,90.0
864c1e1,864c1e1,864c1e4,864c1f,-12432.350153794421,-106243.2245739056,69236.65729705419,20.0,-34864.74454192304,-297447.48217996367,193904.36040830112,56.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1e3,864c1e3,864c1e4,864c1f,-9354.684904397636,-79677.6568857259,51929.328649123774,15.0,-34864.74454192304,-297447.48217996367,193904.36040830112,56.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1e5,864c1e5,864c1e4,864c1f,-8106.324974331643,-69039.5798512814,45027.68087467312,13.0,-34864.74454192304,-297447.48217996367,193904.36040830112,56.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1e7,864c1e7,864c1e4,864c1f,-4971.3845093993405,-42487.02086905077,27710.69358745005,8.0,-34864.74454192304,-297447.48217996367,193904.36040830112,56.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1e9,864c1e9,864c1ec,864c1f,-12424.511372857949,-106189.56132695811,69320.33989268863,20.0,-32360.091119691268,-276075.31222642586,180249.63863837166,52.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1eb,864c1eb,864c1ec,864c1f,-621.6060118316424,-5308.787433886455,3467.0066451539224,1.0,-32360.091119691268,-276075.31222642586,180249.63863837166,52.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1ed,864c1ed,864c1ec,864c1f,-6231.188126828532,-53080.599976678444,34678.48607285849,10.0,-32360.091119691268,-276075.31222642586,180249.63863837166,52.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1ef,864c1ef,864c1ec,864c1f,-13082.78560817314,-111496.36348890286,72783.80602767062,21.0,-32360.091119691268,-276075.31222642586,180249.63863837166,52.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1f4,864c1f4,864c1f4,864c1f,-28813.66940909629,-244189.6716397057,159464.99963088197,46.0,-28813.66940909629,-244189.6716397057,159464.99963088197,46.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c1fc,864c1fc,864c1fc,864c1f,-25682.233709017088,-217757.59543540954,141962.74926754824,41.0,-25682.233709017088,-217757.59543540954,141962.74926754824,41.0,-121720.73877972769,-1035470.0614815047,675581.747945103,195.0
864c201,864c201,864c204,864c204,-5665.990712602359,-47804.74445332425,31150.809059950054,9.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0
864c203,864c203,864c204,864c204,-12595.288761435932,-106202.35464613601,69269.90307506795,20.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0
864c205,864c205,864c204,864c204,-8207.162873187946,-69028.79254620148,45025.95348896765,13.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0
864c207,864c207,864c204,864c204,-7579.110985073908,-63737.28745031329,41533.59607448437,12.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0,-34047.553332300144,-286773.17909597507,186980.26169847,54.0
864c209,864c209,864c20c,864c20c,-8870.257855520014,-74356.35165712546,48456.6088160346,14.0,-38108.4027671206,-318647.19301250426,207689.23442883097,60.0,-38108.4027671206,-318647.19301250426,207689.23442883097,60.0
